"borough","neighborhood","building_class_category","tax_class_at_present","block","lot","easement","building_class_at_present","address","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date"
1,"alphabet city            ","07  rentals - walkup apartments             ","2B",372,19," ","C7"," 292 east 3 street                         ",10009,9,1,10,"2,401","6,920",1920," 2 "," C7 ","$670,509",5/11/2009
1,"alphabet city            ","07  rentals - walkup apartments             ","2A",377,53," ","C2"," 269 east 7 street                         ",10009,5,0,5,"2,169","3,657",1900," 2 "," C2 ",$0,3/25/2009
1,"alphabet city            ","07  rentals - walkup apartments             ",2,385,53," ","C4"," 234 east 2 street                         ",10009,15,0,15,"2,542","9,062",1900," 2 "," C4 ",$10,10/1/2009
1,"alphabet city            ","07  rentals - walkup apartments             ",2,402,28," ","C4"," 168 east 7 street                         ",10009,20,0,20,"2,533","9,720",1911," 2 "," C4 ",$1,3/2/2009
1,"alphabet city            ","07  rentals - walkup apartments             ",2,404,43," ","C4"," 325 east 10 street                        ",10009,18,0,18,"2,370","11,000",1900," 2 "," C4 ",$0,1/6/2010
1,"alphabet city            ","07  rentals - walkup apartments             ",2,406,42," ","C7"," 543 east 12 street                        ",10009,18,1,19,"3,622","11,951",1900," 2 "," C7 ",$0,12/30/2009
1,"alphabet city            ","08  rentals - elevator apartments           ",2,401,29," ","D1"," 538 east 6 street                         ",10009,18,0,18,"2,232","11,447",1900," 2 "," D1 ",$10,10/1/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,373,40," ","C6"," 327 east 3rd street, 4c                   ",10009,0,0,0,0,0,1920," 2 "," C6 ","$370,000",7/6/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,373,46," ","C6"," 317 east 3rd street, 17                   ",10009,0,0,0,0,0,1925," 2 "," C6 ","$295,000",8/7/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,373,49," ","C6"," 311 east 3rd street, 17                   ",10009,0,0,0,0,0,1920," 2 "," C6 ","$340,000",12/7/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,374,65," ","C6"," 309 east 4th street, 5d                   ",10009,0,0,0,0,0,1900," 2 "," C6 ",$1,3/9/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,376,16," ","C6"," 248 east 7th   street, 17-18              ",10009,0,0,0,0,0,1928," 2 "," C6 ","$565,000",7/10/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,376,18," ","C6"," 252 east 7th street, 13                   ",10009,0,0,0,0,0,1928," 2 "," C6 ","$627,000",3/31/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,376,18," ","C6"," 252 east 7th street, 5                    ",10009,0,0,0,0,0,1928," 2 "," C6 ","$1,150,000",9/21/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,386,20," ","C6"," 268 east 4th street, 4ab                  ",10009,0,0,0,0,0,1923," 2 "," C6 ","$385,000",8/6/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,387,15," ","C6"," 610 east 5th street, 4                    ",10009,0,0,0,0,0,1900," 2 "," C6 ","$340,000",4/20/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,387,15," ","C6"," 610 east 5th street, 9                    ",10009,0,0,0,0,0,1900," 2 "," C6 ","$360,000",5/18/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,387,15," ","C6"," 610 east 5th street, 13                   ",10009,0,0,0,0,0,1900," 2 "," C6 ","$382,500",11/11/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,387,37," ","C6"," 55 avenue c, 8                            ",10009,0,0,0,0,0,1900," 2 "," C6 ","$499,000",9/9/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,387,37," ","C6"," 55 avenue c, 17                           ",10009,0,0,0,0,0,1900," 2 "," C6 ","$510,000",9/15/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,389,21," ","C6"," 206 east 7th street, 21                   ",10009,0,0,0,0,0,1900," 2 "," C6 ",$0,4/7/2009
1,"alphabet city            ","09  coops - walkup apartments               ","2C",389,26," ","C6"," 216 east 7th street, 1                    ",10009,0,0,0,0,0,1925," 2 "," C6 ","$590,000",4/24/2009
1,"alphabet city            ","09  coops - walkup apartments               ","2C",389,26," ","C6"," 216 east 7th, 5                           ",10009,0,0,0,0,0,1925," 2 "," C6 ","$460,000",5/20/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,390,42," ","C6"," 219 east 7th street, 21                   ",10009,0,0,0,0,0,1910," 2 "," C6 ","$495,000",5/1/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,390,42," ","C6"," 219 east 7th street, 18                   ",10009,0,0,0,0,0,1910," 2 "," C6 ","$495,000",5/1/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,390,55," ","C6"," 199 east 7th street, 3d                   ",10009,0,0,0,0,0,1935," 2 "," C6 ","$465,000",11/6/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,391,21," ","C6"," 628 e.9th street, 1a                      ",10009,0,0,0,0,0,1910," 2 "," C6 ","$90,000",7/13/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,391,48," ","C6"," 323 east 8th street, 4b                   ",10009,0,0,0,0,0,1910," 2 "," C6 ","$475,000",3/27/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,391,48," ","C6"," 323 east 8th street, 6c                   ",10009,0,0,0,0,0,1910," 2 "," C6 ","$265,000",4/13/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,391,48," ","C6"," 323 east 8th street, g                    ",10009,0,0,0,0,0,1910," 2 "," C6 ","$390,000",4/9/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,391,57," ","C6"," 303 east 8th street, 1r                   ",10009,0,0,0,0,0,1900," 2 "," C6 ",$0,7/14/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,394,52," ","C6"," 633 east 11th street, 16                  ",10009,0,0,0,0,0,1937," 2 "," C6 ","$285,000",10/21/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,394,52," ","C6"," 633 east 11 street, 10                    ",10009,0,0,0,0,0,1937," 2 "," C6 ","$400,000",2/8/2010
1,"alphabet city            ","09  coops - walkup apartments               ",2,396,20," ","C6"," 626 east 14th street, 6                   ",10009,0,0,0,0,0,1920," 2 "," C6 ","$375,000",3/4/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,396,20," ","C6"," 636 east 14th street, 18                  ",10009,0,0,0,0,0,1920," 2 "," C6 ","$401,267",5/27/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,396,20," ","C6"," 628 east 14th street, 14                  ",10009,0,0,0,0,0,1920," 2 "," C6 ","$397,552",12/9/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,397,25," ","C6"," 185 east 2nd street, 3b                   ",10009,0,0,0,0,0,1915," 2 "," C6 ","$348,000",3/31/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,397,25," ","C6"," 185 east 2 street, 1d                     ",10009,0,0,0,0,0,1915," 2 "," C6 ","$330,000",8/20/2009
1,"alphabet city            ","09  coops - walkup apartments               ",2,398,66," ","C6"," 24 avenue a                               ",10009,20,3,23,"3,450","15,308",1900," 2 "," C6 ",$0,1/20/2010
1,"alphabet city            ","09  coops - walkup apartments               ",2,398,66," ","C6"," 24 avenue a                               ",10009,0,0,0,0,0,1900," 2 "," C6 ",$0,1/20/2010
